t,ins_ref,ins_vel_ref,tws_ref,tws_vel_ref,xm,xm_dot,pm,mode_impedance,xr,dx,xc,x_ref,v_cmd,x_cmd,dF,ke_hat,be_hat,xe_hat,hysteresis_current,dfdt_abs,f_safe,tws_meas,tws_meas_vel
2.845231294631958,6.314163119883295,-108.7202122392219,6.283185307179586,0.0,3.471491836958086,-49.4069417182785,-0.008060560008652962,0,6.314163119883295,0.0,6.314163119883295,6.314163119883295,-100.0,2.4643402332593554,5.008060560008653,0.001,5000.0,-inf,0.47629839908308574,0.14094483783608205,5.0,-2.5103797912597656,0.0
2.855316400527954,6.314163119883295,-108.7202122392219,6.283185307179586,0.0,2.4643402332593554,-100.0,-0.6549923673436902,0,6.314163119883295,0.0,6.314163119883295,6.314163119883295,-100.0,1.455829643659746,5.65499236734369,0.001,5000.0,-inf,0.4336685591747772,64.14724981637295,5.0,-2.5103797912597656,0.0
2.8654685020446777,6.314163119883295,-108.7202122392219,6.283185307179586,0.0,1.455829643659746,-100.0,-0.7961838498876356,0,6.314163119883295,0.0,6.314163119883295,6.314163119883295,-100.0,0.4406194919873827,5.796183849887636,0.001,5000.0,-inf,0.3953017032572995,13.907611375965818,5.0,-2.5103797912597656,0.0
2.875539779663086,3.483936690172227,-93.70795502840134,6.283185307179586,0.0,0.4406194919873827,-100.0,-0.9383132711217664,0,3.483936690172227,0.0,3.483936690172227,3.483936690172227,-90.6646378302165,-0.4724892457731624,5.938313271121767,0.001,5000.0,-inf,0.3607715329315696,14.112352634818427,5.0,-1.7686749696731567,73.6455541877752
2.8856089115142822,3.483936690172227,-93.70795502840134,6.283185307179586,0.0,-0.4724892457731624,-90.6646378302165,0.0,0,3.483936690172227,0.0,3.483936690172227,3.483936690172227,-89.75152909245595,-1.376209226051581,5.0,0.001,5000.0,-inf,0.32969437963841264,93.18710738804039,5.0,-1.7686749696731567,0.0
2.895674467086792,3.483936690172227,-93.70795502840134,6.283185307179586,0.0,-1.376209226051581,-89.75152909245595,0.0,0,3.483936690172227,0.0,3.483936690172227,3.483936690172227,-88.84780911217753,-2.2705117861659434,5.0,0.001,5000.0,-inf,0.4467249416745714,0.0,5.0,-1.7686749696731567,0.0
2.905749797821045,1.1729883728913428,-76.62913883282853,6.283185307179586,0.0,-2.2705117861659434,-88.84780911217753,0.0,0,1.1729883728913428,0.0,1.1729883728913428,1.1729883728913428,-73.18563867377125,-3.0078813008017207,5.0,0.001,5000.0,-inf,0.5520524475071142,0.0,5.0,-1.7686749696731567,0.0
2.915825843811035,0.5397856935828134,-62.6659241319101,6.283185307179586,0.0,-3.0078813008017207,-73.18563867377125,0.0,0,0.5397856935828134,0.0,0.5397856935828134,0.5397856935828134,-59.11825713752557,-3.6035595785674968,5.0,0.001,5000.0,-inf,0.6468472027564028,0.0,5.0,-1.7686749696731567,0.0
2.925901174545288,-0.04980439827132648,-58.59167134114074,6.283185307179586,0.0,-3.6035595785674968,-59.11825713752557,0.0,0,-0.04980439827132648,0.0,-0.04980439827132648,-0.04980439827132648,-55.03791616084457,-4.15808478681209,5.0,0.001,5000.0,-inf,0.7321624824807625,0.0,5.0,-1.1300599575042725,63.38402470479661
2.935974597930908,-0.04980439827132648,-58.59167134114074,6.283185307179586,0.0,-4.15808478681209,-55.03791616084457,0.0,0,-0.04980439827132648,0.0,-0.04980439827132648,-0.04980439827132648,-54.483390952599976,-4.7069190513618935,5.0,0.001,5000.0,-inf,0.8089462342326863,0.0,5.0,-1.1300599575042725,0.0
